model,gene,top_celltype
PMC11085026_ESR_BRCA,PCSK6,Cancer Epithelial
PMC11085026_ESR_BRCA,PCSK9,Cancer Epithelial
PMC11085026_ESR_BRCA,POP1,Cancer Epithelial
PMC10791883_CAF_BRCA,C1S,CAFs
PMC10791883_CAF_BRCA,CCDC8,CAFs
PMC10791883_CAF_BRCA,COL12A1,CAFs
PMC10791883_CAF_BRCA,CTSO,CAFs
PMC10791883_CAF_BRCA,IGFBP6,CAFs
PMC10791883_CAF_BRCA,MFAP4,CAFs
PMC10791883_CAF_BRCA,NT5E,CAFs
PMC10791883_CAF_BRCA,OSMR,Endothelial
PMC10791883_CAF_BRCA,PDLIM4,Normal Epithelial
PMC10791883_CAF_BRCA,RUNX1,Cancer Epithelial
PMC10791883_CAF_BRCA,SAV1,Cancer Epithelial
PMC10791883_CAF_BRCA,SDC1,Cancer Epithelial
PMC10791883_CAF_BRCA,SGCE,CAFs
PMC10791883_CAF_BRCA,TLN2,Cancer Epithelial
PMC11411761_anoikis_BRCA,YAP1,Cancer Epithelial
PMC11411761_anoikis_BRCA,PIK3R1,T-cells
PMC11411761_anoikis_BRCA,BAK1,Myeloid
PMC11411761_anoikis_BRCA,PHLDA2,Cancer Epithelial
PMC11411761_anoikis_BRCA,EDA2R,CAFs
PMC11411761_anoikis_BRCA,LAMB3,Normal Epithelial
PMC11411761_anoikis_BRCA,CD24,Cancer Epithelial
PMC11411761_anoikis_BRCA,SLC2A1,Cancer Epithelial
PMC11411761_anoikis_BRCA,CDC25C,Cancer Epithelial
PMC11411761_anoikis_BRCA,SLC39A6,Cancer Epithelial
PMC13190656_ferroptosis_CRC,ALG3,Epithelial
PMC13190656_ferroptosis_CRC,CST1,Epithelial
PMC13190656_ferroptosis_CRC,RPS10,Epithelial
PMC13190656_ferroptosis_CRC,TRPV4,Macrophage
PMC13190656_ferroptosis_CRC,SPRR1A,Epithelial
PMC13190656_ferroptosis_CRC,FGFR4,Epithelial
PMC13190656_ferroptosis_CRC,TPM1,Epithelial
PMC13190656_ferroptosis_CRC,KDM1A,Epithelial
PMC11656000_pyroptosis_CRC,IL20RB,Fibroblast
PMC11656000_pyroptosis_CRC,MID2,Macrophage
PMC11656000_pyroptosis_CRC,IFITM10,Macrophage
PMC11656000_pyroptosis_CRC,LAMP5,Fibroblast
PMC11656000_pyroptosis_CRC,CALB2,MastCell
PMC11656000_pyroptosis_CRC,BANK1,Bcell
PMC11656000_pyroptosis_CRC,ANGPTL4,Epithelial
PMC11656000_pyroptosis_CRC,CCL22,Bcell
PMC11656000_pyroptosis_CRC,EGFL7,Endothelial
PMC11656000_pyroptosis_CRC,UPK3B,Epithelial
PMC11656000_pyroptosis_CRC,SPTBN5,Epithelial
PMC11656000_pyroptosis_CRC,TMPRSS11E,MastCell
PMC11656000_pyroptosis_CRC,LINGO1,Epithelial
PMC11656000_pyroptosis_CRC,FENDRR,Fibroblast
PMC11656000_pyroptosis_CRC,TRAF1,Macrophage
PMC11656000_pyroptosis_CRC,RNF207,Epithelial
PMC11656000_pyroptosis_CRC,ROBO3,Endothelial
PMC11656000_pyroptosis_CRC,TMEM88,Endothelial
PMC11656000_pyroptosis_CRC,GRP,Bcell
PMC11656000_pyroptosis_CRC,SYNGR3,Bcell
PMC11656000_pyroptosis_CRC,HOXC11,Epithelial
PMC11656000_pyroptosis_CRC,CHGB,Bcell
PMC11656000_pyroptosis_CRC,HEYL,Fibroblast
PMC11656000_pyroptosis_CRC,P2RX5,Bcell
PMC11656000_pyroptosis_CRC,TOX2,Tcell
